trial,condition,receiver,time_s,sequence_offset,rssi_dbm
empty_01,empty,RX01,10.019931,501,-49
empty_01,empty,RX01,10.042053,502,-49
empty_01,empty,RX01,10.061531,503,-49
empty_01,empty,RX01,10.087918,504,-49
empty_01,empty,RX01,10.100088,505,-49
empty_01,empty,RX01,10.121764,506,-49
empty_01,empty,RX01,10.140074,507,-49
empty_01,empty,RX01,10.162025,508,-49
empty_01,empty,RX01,10.188427,509,-49
empty_01,empty,RX01,10.204271,510,-47
empty_01,empty,RX01,10.228053,511,-49
empty_01,empty,RX01,10.260671,513,-49
empty_01,empty,RX01,10.283485,514,-49
empty_01,empty,RX01,10.302021,515,-49
empty_01,empty,RX01,10.329697,516,-49
empty_01,empty,RX01,10.339906,517,-49
empty_01,empty,RX01,10.362152,518,-49
empty_01,empty,RX01,10.384239,519,-49
empty_01,empty,RX01,10.400013,520,-49
empty_01,empty,RX01,10.431547,521,-49
empty_01,empty,RX01,10.439907,522,-49
empty_01,empty,RX01,10.45992,523,-49
empty_01,empty,RX01,10.480897,524,-49
empty_01,empty,RX01,10.501468,525,-49
empty_01,empty,RX01,10.521276,526,-49
empty_01,empty,RX01,10.539914,527,-49
empty_01,empty,RX01,10.562783,528,-49
empty_01,empty,RX01,10.581135,529,-49
empty_01,empty,RX01,10.599899,530,-49
empty_01,empty,RX01,10.625218,531,-49
empty_01,empty,RX01,10.6399,532,-49
empty_01,empty,RX01,10.662575,533,-49
empty_01,empty,RX01,10.680454,534,-49
empty_01,empty,RX01,10.701811,535,-49
empty_01,empty,RX01,10.720942,536,-49
empty_01,empty,RX01,10.739891,537,-49
empty_01,empty,RX01,10.760873,538,-49
empty_01,empty,RX01,10.780584,539,-49
empty_01,empty,RX01,10.804193,540,-49
empty_01,empty,RX01,10.840649,541,-49
empty_01,empty,RX01,10.841313,542,-49
empty_01,empty,RX01,10.862205,543,-49
empty_01,empty,RX01,10.884994,544,-49
empty_01,empty,RX01,10.903918,545,-49
empty_01,empty,RX01,10.947967,547,-49
empty_01,empty,RX01,10.96592,548,-49
empty_01,empty,RX01,10.990291,549,-49
empty_01,empty,RX01,11.042662,552,-49
empty_01,empty,RX01,11.061376,553,-49
empty_01,empty,RX01,11.103854,554,-49
empty_01,empty,RX01,11.124617,556,-49
empty_01,empty,RX01,11.174442,558,-49
empty_01,empty,RX01,11.198255,559,-49
empty_01,empty,RX01,11.204916,560,-49
empty_01,empty,RX01,11.227617,561,-49
empty_01,empty,RX01,11.246587,562,-49
empty_01,empty,RX01,11.265892,563,-49
empty_01,empty,RX01,11.289339,564,-49
empty_01,empty,RX01,11.304611,565,-49
empty_01,empty,RX01,11.33063,566,-49
empty_01,empty,RX01,11.345949,567,-49
empty_01,empty,RX01,11.36458,568,-49
